order_id,session_id,viewer_id,order_ts,total_value,payment_status,shipping_city
O400143,S060,V0100052,2025-05-23 18:17:18,203080,PAID,Bogor
O400144,S060,V0100056,2025-05-23 18:35:23,211394,PAID,Magelang
O400145,S060,V0100059,2025-05-23 18:41:14,187757,PAID,Blitar
O400146,S060,V0100088,2025-05-23 18:31:15,218682,PAID,Cikampek
O400147,S060,V0100093,2025-05-23 18:33:27,114862,PAID,Samarinda
O400148,S060,V0100106,2025-05-23 18:27:15,106603,PAID,Blitar
O400149,S060,V0100108,2025-05-23 18:39:46,177767,PAID,Probolinggo
O400150,S060,V0100112,2025-05-23 18:44:35,152209,PAID,Depok
O400151,S060,V0100115,2025-05-23 18:20:39,135485,PAID,Kediri
O400152,S060,V0100142,2025-05-23 18:49:44,219695,PAID,Bandung
O400153,S060,V0100145,2025-05-23 18:26:47,124921,PAID,Yogyakarta
O400154,S061,V0110007,2025-05-23 18:41:16,223245,PAID,Balikpapan
O400155,S061,V0110013,2025-05-23 18:47:03,152209,PAID,Cikampek
O400156,S061,V0110022,2025-05-23 18:50:54,211394,PAID,Bandung
O400157,S061,V0110039,2025-05-23 18:56:04,223245,PAID,Cianjur
O400158,S061,V0110040,2025-05-23 18:54:04,177767,PAID,Garut
O400159,S061,V0110041,2025-05-23 18:59:12,140765,PAID,Garut
O400160,S061,V0110048,2025-05-23 18:46:18,158946,PAID,Banyuwangi
O400161,S061,V0110050,2025-05-23 18:40:03,158946,PAID,Solo
O400162,S061,V0110074,2025-05-23 18:43:36,218682,PAID,Mojokerto
O400163,S061,V0110088,2025-05-23 18:55:37,196185,PAID,Serang
O400164,S061,V0110096,2025-05-23 18:36:17,218682,PAID,Karawang
O400165,S061,V0110100,2025-05-23 18:47:29,104308,PAID,Malang
O400166,S061,V0110115,2025-05-23 18:45:53,223245,PAID,Medan
O400167,S061,V0110118,2025-05-23 18:47:58,219336,PAID,Solo
O400168,S061,V0110126,2025-05-23 18:49:34,183971,PAID,Karawang
O400169,S061,V0110137,2025-05-23 18:45:35,169595,PAID,Bandung
O400170,S061,V0110147,2025-05-23 18:52:19,169595,PAID,Magelang
O400171,S062,V0120000,2025-05-24 20:24:37,169595,PAID,Pekanbaru
O400172,S062,V0120013,2025-05-24 20:19:00,187757,PAID,Tasikmalaya
O400173,S062,V0120025,2025-05-24 20:16:57,81390,PAID,Tegal
O400174,S062,V0120061,2025-05-24 20:09:38,140765,PAID,Singaraja
O400175,S062,V0120074,2025-05-24 20:12:58,218682,PAID,Cikampek
O400176,S062,V0120077,2025-05-24 20:09:40,78234,PAID,Tangerang
O400177,S062,V0120080,2025-05-24 20:01:59,219336,PAID,Kediri
O400178,S062,V0120094,2025-05-24 20:21:15,203080,PAID,Cikampek
O400179,S062,V0120097,2025-05-24 20:10:43,245368,PAID,Magelang
O400180,S062,V0120111,2025-05-24 20:19:36,114862,PAID,Cianjur
O400181,S062,V0120112,2025-05-24 20:17:18,124921,PAID,Sukabumi
O400182,S062,V0120127,2025-05-24 20:02:41,138358,PAID,Tasikmalaya
O400183,S062,V0120135,2025-05-24 20:20:37,218682,PAID,Bekasi
O400184,S063,V0130013,2025-05-24 20:01:12,133143,PAID,Pekanbaru
O400185,S063,V0130023,2025-05-24 20:01:09,119914,PAID,Bandung
O400186,S063,V0130029,2025-05-24 20:18:17,209231,PAID,Blitar
O400187,S063,V0130034,2025-05-24 20:27:19,210763,PAID,Tangerang
O400188,S063,V0130043,2025-05-24 20:17:05,81390,PAID,Depok
O400189,S063,V0130047,2025-05-24 20:04:45,237621,PAID,Semarang
O400190,S063,V0130067,2025-05-24 20:24:33,158946,PAID,Serang
O400191,S063,V0130100,2025-05-24 20:17:26,210584,PAID,Pasuruan
O400192,S063,V0130114,2025-05-24 20:23:11,205679,PAID,Tegal
O400193,S063,V0130116,2025-05-24 20:16:20,223245,PAID,Cirebon
O400194,S063,V0130119,2025-05-24 20:19:05,219695,PAID,Purwokerto
O400195,S063,V0130120,2025-05-24 20:09:19,104308,PAID,Mojokerto
O400196,S063,V0130126,2025-05-24 20:10:17,152209,PAID,Malang
O400197,S063,V0130129,2025-05-24 20:16:14,223245,PAID,Semarang
O400198,S063,V0130131,2025-05-24 20:21:06,169230,PAID,Tasikmalaya
O400199,S064,V0140009,2025-05-24 19:35:09,88610,PAID,Bandar Lampung
O400200,S064,V0140024,2025-05-24 19:30:13,119914,PAID,Cirebon
O400201,S064,V0140040,2025-05-24 19:29:47,135485,PAID,Yogyakarta
O400202,S064,V0140046,2025-05-24 19:37:15,135485,PAID,Pekanbaru
O400203,S064,V0140047,2025-05-24 19:45:58,196185,PAID,Sukabumi
O400204,S064,V0140054,2025-05-24 19:37:58,194592,PAID,Cirebon
O400205,S064,V0140072,2025-05-24 19:39:54,229014,PAID,Kediri
O400206,S064,V0140077,2025-05-24 19:23:48,155008,PAID,Malang
O400207,S064,V0140084,2025-05-24 19:26:21,218682,PAID,Madiun
O400208,S064,V0140094,2025-05-24 19:36:17,203080,PAID,Purwokerto
O400209,S064,V0140128,2025-05-24 19:33:58,119914,PAID,Banjarmasin
O400210,S064,V0140131,2025-05-24 19:41:59,116832,PAID,Semarang
O400211,S064,V0140142,2025-05-24 19:26:49,170864,PAID,Serang
O400212,S064,V0140146,2025-05-24 19:27:37,169230,PAID,Palu
O400213,S065,V0150017,2025-05-25 19:55:36,106603,PAID,Semarang
O400214,S065,V0150038,2025-05-25 19:57:14,114862,PAID,Ambon
O400215,S065,V0150050,2025-05-25 19:46:47,110066,PAID,Mojokerto
O400216,S065,V0150052,2025-05-25 19:50:04,215691,PAID,Tasikmalaya
O400217,S065,V0150058,2025-05-25 19:56:46,196185,PAID,Surabaya
O400218,S065,V0150062,2025-05-25 19:40:20,183971,PAID,Tasikmalaya
O400219,S065,V0150064,2025-05-25 19:51:56,218682,PAID,Ambon
O400220,S065,V0150091,2025-05-25 19:37:47,140765,PAID,Malang
O400221,S065,V0150093,2025-05-25 19:54:50,215691,PAID,Sukabumi
O400222,S065,V0150099,2025-05-25 20:05:12,170864,PAID,Purwokerto
O400223,S065,V0150119,2025-05-25 20:00:21,155008,PAID,Pasuruan
O400224,S065,V0150127,2025-05-25 19:53:19,114862,PAID,Blitar
O400225,S066,V0160007,2025-05-25 20:53:24,114862,PAID,Solo
O400226,S066,V0160008,2025-05-25 20:54:51,194592,PAID,Banyuwangi
O400227,S066,V0160010,2025-05-25 20:51:27,145861,PAID,Karawang
O400228,S066,V0160021,2025-05-25 20:50:43,170864,PAID,Sukabumi
O400229,S066,V0160025,2025-05-25 21:07:12,237621,PAID,Mojokerto
O400230,S066,V0160052,2025-05-25 20:41:58,205679,PAID,Bogor
O400231,S066,V0160064,2025-05-25 20:44:43,218682,PAID,Bandung
O400232,S066,V0160087,2025-05-25 20:40:08,179897,PAID,Mojokerto
O400233,S066,V0160097,2025-05-25 20:50:13,124921,PAID,Kediri
O400234,S066,V0160117,2025-05-25 20:55:22,229014,PAID,Jakarta
O400235,S066,V0160120,2025-05-25 20:42:44,219695,PAID,Depok
O400236,S066,V0160136,2025-05-25 20:35:43,179897,PAID,Semarang
O400237,S066,V0160137,2025-05-25 20:39:48,196185,PAID,Blitar
O400238,S067,V0170015,2025-05-25 20:02:45,245368,PAID,Makassar
O400239,S067,V0170022,2025-05-25 20:13:29,135485,PAID,Bogor
O400240,S067,V0170027,2025-05-25 20:00:02,75514,PAID,Depok
O400241,S067,V0170032,2025-05-25 20:09:06,75514,PAID,Jakarta
O400242,S067,V0170033,2025-05-25 19:58:39,219336,PAID,Bekasi
O400243,S067,V0170045,2025-05-25 19:53:09,94448,PAID,Bengkulu
O400244,S067,V0170066,2025-05-25 20:10:35,169230,PAID,Probolinggo
O400245,S067,V0170077,2025-05-25 19:46:59,219336,PAID,Pasuruan
O400246,S067,V0170087,2025-05-25 19:53:50,194592,PAID,Mojokerto
O400247,S067,V0170110,2025-05-25 19:53:44,159194,PAID,Bekasi
O400248,S067,V0170113,2025-05-25 20:00:54,145861,PAID,Tegal
O400249,S067,V0170122,2025-05-25 20:04:34,75514,PAID,Batam
O400250,S067,V0170145,2025-05-25 20:06:09,211394,PAID,Solo
O400251,S067,V0170147,2025-05-25 19:57:15,229014,PAID,Probolinggo
O400252,S068,V0180002,2025-05-26 20:55:56,88143,PAID,Kediri
O400253,S068,V0180005,2025-05-26 20:24:14,122730,PAID,Tangerang
O400254,S068,V0180011,2025-05-26 20:47:24,127068,PAID,Cirebon
O400255,S068,V0180012,2025-05-26 20:41:15,218682,PAID,Malang
O400256,S068,V0180017,2025-05-26 20:50:37,187757,PAID,Cianjur
O400257,S068,V0180021,2025-05-26 20:27:54,88610,PAID,Malang
O400258,S068,V0180027,2025-05-26 20:31:53,215024,PAID,Cirebon
O400259,S068,V0180050,2025-05-26 20:32:40,94448,PAID,Sorong
O400260,S068,V0180063,2025-05-26 20:42:43,133143,PAID,Purwokerto
O400261,S068,V0180076,2025-05-26 20:39:16,245368,PAID,Cikampek
O400262,S068,V0180083,2025-05-26 20:36:23,210584,PAID,Surabaya
O400263,S068,V0180085,2025-05-26 20:42:48,152209,PAID,Karawang
O400264,S068,V0180116,2025-05-26 20:31:52,159194,PAID,Mojokerto
O400265,S068,V0180122,2025-05-26 20:53:56,179897,PAID,Tegal
O400266,S068,V0180132,2025-05-26 20:46:39,210763,PAID,Blitar
O400267,S068,V0180135,2025-05-26 20:51:10,196185,PAID,Depok
O400268,S068,V0180136,2025-05-26 20:39:10,229014,PAID,Serang
O400269,S069,V0190000,2025-05-26 20:31:15,140765,PAID,Kediri
O400270,S069,V0190003,2025-05-26 20:31:16,88143,PAID,Cirebon
O400271,S069,V0190015,2025-05-26 20:27:19,155008,PAID,Padang
O400272,S069,V0190020,2025-05-26 20:33:05,116832,PAID,Mojokerto
O400273,S069,V0190032,2025-05-26 20:30:22,198085,PAID,Cirebon
O400274,S069,V0190039,2025-05-26 20:38:17,140765,PAID,Jakarta
O400275,S069,V0190040,2025-05-26 20:38:31,138358,PAID,Pasuruan
O400276,S069,V0190043,2025-05-26 20:27:59,106262,PAID,Serang
O400277,S069,V0190045,2025-05-26 20:54:37,218682,PAID,Cilacap
O400278,S069,V0190047,2025-05-26 20:34:21,219695,PAID,Probolinggo
O400279,S069,V0190049,2025-05-26 20:30:40,140765,PAID,Padang
O400280,S069,V0190054,2025-05-26 20:44:33,152694,PAID,Magelang
O400281,S069,V0190068,2025-05-26 20:41:55,183971,PAID,Cirebon
O400282,S069,V0190091,2025-05-26 20:55:11,223245,PAID,Padang
O400283,S069,V0190117,2025-05-26 20:44:06,198085,PAID,Mataram
O400284,S069,V0190135,2025-05-26 20:50:15,124921,PAID,Garut
O400285,S070,V0200006,2025-05-26 20:57:49,169595,PAID,Pontianak
O400286,S070,V0200012,2025-05-26 20:52:07,179897,PAID,Bogor
O400287,S070,V0200022,2025-05-26 21:01:31,210763,PAID,Banyuwangi
O400288,S070,V0200029,2025-05-26 20:45:06,170864,PAID,Kediri
O400289,S070,V0200030,2025-05-26 20:59:28,104308,PAID,Bogor
O400290,S070,V0200042,2025-05-26 20:51:51,164800,PAID,Surabaya
O400291,S070,V0200047,2025-05-26 21:16:38,219336,PAID,Makassar
O400292,S070,V0200055,2025-05-26 21:08:31,145861,PAID,Manado
O400293,S070,V0200062,2025-05-26 20:51:39,81390,PAID,Probolinggo
O400294,S070,V0200069,2025-05-26 21:08:20,245368,PAID,Bandung
O400295,S070,V0200074,2025-05-26 20:59:40,75514,PAID,Cilacap
O400296,S070,V0200081,2025-05-26 21:12:42,205679,PAID,Kediri
O400297,S070,V0200088,2025-05-26 21:03:12,196185,PAID,Makassar
O400298,S070,V0200092,2025-05-26 21:09:46,179897,PAID,Cikampek
O400299,S070,V0200093,2025-05-26 21:00:59,223245,PAID,Blitar
O400300,S070,V0200121,2025-05-26 20:53:10,78331,PAID,Yogyakarta
O400301,S070,V0200139,2025-05-26 20:56:02,177767,PAID,Bekasi
O400302,S071,V0210003,2025-05-27 20:18:54,210584,PAID,Serang
O400303,S071,V0210025,2025-05-27 20:15:38,106262,PAID,Sukabumi
O400304,S071,V0210031,2025-05-27 20:15:13,94448,PAID,Magelang
O400305,S071,V0210047,2025-05-27 20:00:39,219695,PAID,Tangerang
O400306,S071,V0210052,2025-05-27 20:09:58,140765,PAID,Kediri
O400307,S071,V0210073,2025-05-27 20:21:45,237621,PAID,Bandung
O400308,S071,V0210074,2025-05-27 20:20:09,179897,PAID,Mataram
O400309,S071,V0210077,2025-05-27 20:12:57,114862,PAID,Mojokerto
O400310,S071,V0210099,2025-05-27 20:14:14,177767,PAID,Palembang
O400311,S071,V0210108,2025-05-27 20:15:49,203080,PAID,Banjarmasin
O400312,S071,V0210114,2025-05-27 20:13:57,158946,PAID,Magelang
O400313,S071,V0210123,2025-05-27 20:19:08,114862,PAID,Magelang
O400314,S071,V0210129,2025-05-27 20:20:11,70565,PAID,Kediri
O400315,S071,V0210130,2025-05-27 20:04:42,78331,PAID,Pasuruan
O400316,S071,V0210137,2025-05-27 20:16:51,218682,PAID,Tangerang
O400317,S071,V0210148,2025-05-27 20:03:23,164800,PAID,Bogor
O400318,S072,V0220011,2025-05-27 19:05:31,140765,PAID,Sukabumi
O400319,S072,V0220016,2025-05-27 19:09:33,106262,PAID,Malang
O400320,S072,V0220019,2025-05-27 18:57:09,76956,PAID,Bogor
O400321,S072,V0220020,2025-05-27 18:57:30,88610,PAID,Surabaya
O400322,S072,V0220021,2025-05-27 18:55:18,135485,PAID,Tegal
O400323,S072,V0220024,2025-05-27 19:15:34,122730,PAID,Cikampek
O400324,S072,V0220038,2025-05-27 19:05:50,88143,PAID,Pasuruan
O400325,S072,V0220040,2025-05-27 19:04:55,183971,PAID,Garut
O400326,S072,V0220050,2025-05-27 18:58:19,188858,PAID,Bekasi
O400327,S072,V0220063,2025-05-27 19:09:25,88143,PAID,Malang
O400328,S072,V0220067,2025-05-27 18:47:33,194592,PAID,Yogyakarta
O400329,S072,V0220079,2025-05-27 19:04:04,124921,PAID,Tarakan
O400330,S072,V0220084,2025-05-27 18:56:32,237621,PAID,Yogyakarta
O400331,S072,V0220086,2025-05-27 19:01:08,159194,PAID,Pasuruan
O400332,S072,V0220090,2025-05-27 19:10:41,122730,PAID,Bengkulu
O400333,S072,V0220124,2025-05-27 19:17:04,78234,PAID,Tegal
O400334,S073,V0230003,2025-05-27 20:02:24,88610,PAID,Cilacap
O400335,S073,V0230010,2025-05-27 20:11:18,106262,PAID,Semarang
O400336,S073,V0230013,2025-05-27 20:10:28,205679,PAID,Banyuwangi
O400337,S073,V0230019,2025-05-27 19:58:53,127068,PAID,Jakarta
O400338,S073,V0230028,2025-05-27 20:08:30,116832,PAID,Tarakan
O400339,S073,V0230032,2025-05-27 19:52:56,177767,PAID,Magelang
O400340,S073,V0230036,2025-05-27 19:59:53,215024,PAID,Kendari
O400341,S073,V0230051,2025-05-27 20:09:28,145861,PAID,Tasikmalaya
O400342,S073,V0230053,2025-05-27 19:47:22,155008,PAID,Denpasar
O400343,S073,V0230065,2025-05-27 19:46:58,170864,PAID,Magelang
O400344,S073,V0230069,2025-05-27 20:02:00,88610,PAID,Solo
O400345,S073,V0230081,2025-05-27 19:48:02,127068,PAID,Kediri
O400346,S073,V0230107,2025-05-27 20:00:21,70565,PAID,Pontianak
O400347,S073,V0230126,2025-05-27 19:59:11,158946,PAID,Mataram
O400348,S073,V0230127,2025-05-27 20:16:31,140765,PAID,Kediri
O400349,S073,V0230139,2025-05-27 19:55:38,188858,PAID,Magelang
O400350,S074,V0240004,2025-05-28 19:27:39,164800,PAID,Kendari
O400351,S074,V0240036,2025-05-28 19:37:47,106262,PAID,Pekanbaru
O400352,S074,V0240037,2025-05-28 19:24:55,210763,PAID,Malang
O400353,S074,V0240055,2025-05-28 19:44:49,173712,PAID,Surabaya
O400354,S074,V0240068,2025-05-28 19:45:12,237621,PAID,Cirebon
O400355,S074,V0240070,2025-05-28 19:28:23,110066,PAID,Pasuruan
O400356,S074,V0240088,2025-05-28 19:24:45,183971,PAID,Kediri
O400357,S074,V0240094,2025-05-28 19:39:34,138358,PAID,Yogyakarta
O400358,S074,V0240095,2025-05-28 19:47:49,106262,PAID,Probolinggo
O400359,S074,V0240112,2025-05-28 19:38:46,214264,PAID,Blitar
O400360,S074,V0240120,2025-05-28 19:38:26,78234,PAID,Blitar
O400361,S074,V0240129,2025-05-28 19:38:49,94448,PAID,Singaraja
O400362,S074,V0240149,2025-05-28 19:36:10,152694,PAID,Karawang
O400363,S075,V0250003,2025-05-28 20:49:17,245368,PAID,Bandung
O400364,S075,V0250019,2025-05-28 20:58:48,75514,PAID,Tangerang
O400365,S075,V0250029,2025-05-28 20:46:12,215024,PAID,Tangerang
O400366,S075,V0250035,2025-05-28 20:53:00,127068,PAID,Tangerang
O400367,S075,V0250043,2025-05-28 20:59:31,70565,PAID,Palembang
